ano,uf_code,uf_sigla,regiao,faixa,internacoes
2024,52,GO,Centro-Oeste,menor_1_ano,420
2024,52,GO,Centro-Oeste,1_a_4_anos,1206
2014,53,DF,Centro-Oeste,menor_1_ano,224
2014,53,DF,Centro-Oeste,1_a_4_anos,873
2015,53,DF,Centro-Oeste,menor_1_ano,362
2015,53,DF,Centro-Oeste,1_a_4_anos,920
2016,53,DF,Centro-Oeste,menor_1_ano,227
2016,53,DF,Centro-Oeste,1_a_4_anos,813
2017,53,DF,Centro-Oeste,menor_1_ano,313
2017,53,DF,Centro-Oeste,1_a_4_anos,763
2018,53,DF,Centro-Oeste,menor_1_ano,233
2018,53,DF,Centro-Oeste,1_a_4_anos,785
2019,53,DF,Centro-Oeste,menor_1_ano,259
2019,53,DF,Centro-Oeste,1_a_4_anos,764
2020,53,DF,Centro-Oeste,menor_1_ano,276
2020,53,DF,Centro-Oeste,1_a_4_anos,775
2021,53,DF,Centro-Oeste,menor_1_ano,227
2021,53,DF,Centro-Oeste,1_a_4_anos,577
2022,53,DF,Centro-Oeste,menor_1_ano,231
2022,53,DF,Centro-Oeste,1_a_4_anos,690
2023,53,DF,Centro-Oeste,menor_1_ano,235
2023,53,DF,Centro-Oeste,1_a_4_anos,452
2024,53,DF,Centro-Oeste,menor_1_ano,227
2024,53,DF,Centro-Oeste,1_a_4_anos,540
