ano,uf_code,faixa,populacao,uf_sigla,regiao
2017,52,menor_1_ano,80246,GO,Centro-Oeste
2017,52,1_a_4_anos,342155,GO,Centro-Oeste
2018,52,menor_1_ano,78704,GO,Centro-Oeste
2018,52,1_a_4_anos,303463,GO,Centro-Oeste
2019,52,menor_1_ano,74325,GO,Centro-Oeste
2019,52,1_a_4_anos,292563,GO,Centro-Oeste
2020,52,menor_1_ano,73404,GO,Centro-Oeste
2020,52,1_a_4_anos,306410,GO,Centro-Oeste
2021,52,menor_1_ano,68462,GO,Centro-Oeste
2021,52,1_a_4_anos,280560,GO,Centro-Oeste
2022,52,menor_1_ano,66674,GO,Centro-Oeste
2022,52,1_a_4_anos,267017,GO,Centro-Oeste
2023,52,menor_1_ano,64215,GO,Centro-Oeste
2023,52,1_a_4_anos,255181,GO,Centro-Oeste
2024,52,menor_1_ano,60733,GO,Centro-Oeste
2024,52,1_a_4_anos,251626,GO,Centro-Oeste
2014,53,menor_1_ano,43222,DF,Centro-Oeste
2014,53,1_a_4_anos,179695,DF,Centro-Oeste
2015,53,menor_1_ano,41896,DF,Centro-Oeste
2015,53,1_a_4_anos,177328,DF,Centro-Oeste
2016,53,menor_1_ano,42184,DF,Centro-Oeste
2016,53,1_a_4_anos,171157,DF,Centro-Oeste
2017,53,menor_1_ano,39655,DF,Centro-Oeste
2017,53,1_a_4_anos,163119,DF,Centro-Oeste
2018,53,menor_1_ano,39413,DF,Centro-Oeste
2018,53,1_a_4_anos,162777,DF,Centro-Oeste
2019,53,menor_1_ano,37584,DF,Centro-Oeste
2019,53,1_a_4_anos,158959,DF,Centro-Oeste
2020,53,menor_1_ano,35687,DF,Centro-Oeste
2020,53,1_a_4_anos,153771,DF,Centro-Oeste
2021,53,menor_1_ano,34876,DF,Centro-Oeste
2021,53,1_a_4_anos,148916,DF,Centro-Oeste
2022,53,menor_1_ano,33526,DF,Centro-Oeste
2022,53,1_a_4_anos,142479,DF,Centro-Oeste
2023,53,menor_1_ano,31936,DF,Centro-Oeste
2023,53,1_a_4_anos,135711,DF,Centro-Oeste
2024,53,menor_1_ano,30517,DF,Centro-Oeste
2024,53,1_a_4_anos,129177,DF,Centro-Oeste
